All of childhood idols are blood-sucking monsters,
Was trump your human model?,
Fuck this nft bull shit,
"Excellent, how about this one ?",
Join Club x 💡 #NFTCommunity #NFTClassic #NFTCommunityCryptoArt #NFTcollections #NftColllectors #nftcreator #NFTcollectible #themedicicollection twitter.com/jointheclubx?s=1…,
,
opensea.io/assets/0x495f9472…,
'Hi welcome to launch your NFT project on @miidasnft @CoreDao_Org',
"His speeches filled with rants and rhyme,
And still, his followers called him divine,
And so he stood, with ego so tall,
In this crazy picture, he was not superfluous at all",
really.. thats what we have to do now?,
Orchid bee ArtandArtists ArtandArtists 🚀💥,
FYI 👇,
"Do you still believe in NFTs? Do you have any I can check out from you personally, not from opensea or some other centralized exchange? My DMs are open 👐",
DAY 6969 #nobodycares,
👀,
"Musk's words are endless, but Musk has only one signature.Troll $TROLL contract:0xf8ebf4849f1fa4faf0dff2106a173d3a6cb2eb3a

$TROLL #erc20 #troll #bnb #btc #eth $doge $shib $pepe #elonmusk $sol $ape $kas $bonk $WIF",
Retarded crap. Go die in a corner of an abandoned and ruined building in the middle of a scary and dark forest.,
