text,positive,anticipation,negative,trust,anger,disgust,joy,surprise,fear,sadness
"gassing up objectively shitty art to ensure your own investments value and keep the hype train running, for what? so you can live comfortably?

or do you just have bad taste?",1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
mate...,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"no it absolutely fucking hasn't
it's like jeff koons had a talent* bypass
&
was let loose with photoshop
while on mogadon

*relative term",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lol good one,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
gonna tattoo this on my chest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"beeble memes as shiba inu
#dogearmy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
billion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glorious.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xfbccbabebdee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"wow, unfollowed for that",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
bro! i’m in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meat you at the tattoo shop on the moon!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gonna tattoo this on my left butt-cheek.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i'd eat that.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can you pour some treats into my dogebowl plz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proof or it didn’t happen,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
this going on my shaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proof or ban,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
selling this screenshot ofsaying they are gonna tattoo‘s artwork ofbeing an nfe on top of a doge with piles of #dogecoin in the background,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
quadruplets!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
someone will spend hundreds of millions on this,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how much!?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
when collab  with me ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfes and #dogecoin sphinx — th wonder of the world ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh this is great hahaha!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
take me to dogeworld ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smfh wow ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yeah this was taken on mars ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"elon, nice semi porn-stache",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is fucking beautiful.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i imagine many years hence some future alien civilization will be reading these off our blockchains like we read hieroglyphics from pyramids today.,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
seriously!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at least give him a dick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we will build the biggest pump ever!
estimated profit of -%!

 join channel :t.me/whaleglobal

$btc $eth #nft $perl $enj $flow $ctsi #bsc $reef $aergo $sand $axs $tvk $alice $chz $stx $rose $troy $blz $bzrx $iris $tools $ada $dia $xrp $doge $atom $luna $zcx $bnb",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
road doge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
get it!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling dogey ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
the more creative the better it seems ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 love it,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"make nft with vitalik, sir",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
what about this one? rarible.com/token/xddc…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nft #nfe #nonfungibleelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nifty doges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
take my money!,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
xbdbecadbecdeedfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the egod elon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
now that’s art.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
thats generous,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
haha...nice!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it's already tokenized.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how do you guys do it so quickly ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awww shiiit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
im bidding on this,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
easymillion dollar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the #dogeking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i’ll offer ,, dogecoin",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wow i like it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can i buy this off you for $.?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is that doge chasing a #mooncat ? #mooncatrescue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can i trade you for some pizza? maybe a steak dinner or some bourbon?,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"ha ha.
beeple nft $
elon nftdoge
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"are those piles of dogecoins in the background? 

by the way this is legendary",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i’m biased to fungible elon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"what is nfe? ?

non fungible elon ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wtf ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"you’re an animal! let’s goo!
#dogearmy",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
shut up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tu me le donnes ? j'aimerais bien l'avoir.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nailed it!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yes it is and people are coming for it. doge is the people's currency.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omg i died laughing while driving,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tech zeus.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bro, bit generous in the chiselled department!!",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
price? how many $doge?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a place in japan ii collectible rarible.com/token/xf…? #rarible #ethereum #nonfungible #digitalasset #nft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thanks, i’m going to have to bleach my eyes now ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how much?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amazing! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is a god,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
what the hell,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
this one too ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i can give youxrp for this one (no offense) i don’t have m... ,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
this is worth at least $m!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
have them both sitting in a space x rocket to the moon. ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"overpumped obese doge with overworked, overmuscular, trophy holding musk overdworfing tiny people looking up to their new hercules.
disturbing image, but i like the portrayed reality. :)",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
nice nft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is he making hybrid elon-doge babies?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how can i unsee this?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"dunno, but he and other nft artists need to give 's fraction.art andand a long look:

medium.com/daofi/daofis-entr…",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we will build the biggest pump ever!
estimated profit of -%! 

join channel :t.me/whaleglobal

$btc $eth #nft $perl $enj $flow $ctsi #bsc $reef $aergo $sand $axs $tvk $alice $chz $stx $rose $troy $blz $bzrx $iris $tools $ada $dia $xrp $doge $atom $luna $zcx $bnb",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
boom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it's me on the right hand side. thanks for adding me bro' lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brilliant ,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
non-fungible teslas?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the shipyard finest#nfts that monetize artworks without selling them. giving defi a new oort to compete. the best of both worlds and giving nft a utility angel. i’m in love. #oortdigital baby,6.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
hahahaha this is great,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
did elon accept?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the series!!,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oh i don’t even know what to say about this!! ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
how many #dogecoin for that?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"look at this

mintable.app/collectibles/it…",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
check your dms let’s trade .. #nft #nfts #nftart,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"who’s gonna clean up the yard, behind the doge?! look at the pipes of shit..coins he’s left.",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
idiocracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i’ll buy it foreth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is gonnna go for a billion dollars lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorry my elons are actually non fungible now,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drawing #nft the price of which will increase x. hurry up friend #cryptoart #nfts #nftgiveaway #nftcollector,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
what's the conversion rate from dogecoins to elons?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we will build the biggest pump ever!
estimated profit of -%! 

join channel :t.me/whaleglobal

$btc $eth #nft $perl $enj $flow $ctsi #bsc $reef $aergo $sand $axs $tvk $alice $chz $stx $rose $troy $blz $bzrx $iris $tools $ada $dia $xrp $doge $atom $luna $zcx $bnb",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
r/cursedimages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ห๊ะ!!อะไรนะamb slot โบนัสชวนเพื่อนให้เยอะขนาดนี้เลยหรอ ต้องรีบไปชวนเพื่อนมาเล่นแล้วจ้า แถมสมัครใหม่วันนี้รับโบนัสตั้ง % แหนะ โอ้ยยไปชวนเพื่อนมาเล่นดีกว่าแถมมีแอดมินบริการชั่วโมงฝาก-ถอนเร็วสุดๆ ไปเลยจ้า เราไปชวนเพื่อนกันเถอะ bit.ly/zmsrj  จิ้มลิงค์นี้เลยค่า,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"let's celebrate the week with a new website launch! share your project idea and get a free consultation to bring it to life.
fiverr.com/s/zmboel",2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
opensea.io/assets/xddc…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogecoin *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rarible.com/eska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nft.io,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"an attempt to create internet history: the nft alphabet is available at (opensea.io/collection/the-nf…)

you can buy t,e,s,l,a for $ each (or all of them for $).remaining letters go to auction every few days until all are sold",1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"incredible art! elon’s facial expression takes the cake. but if i had a spare million, i’d spend it on this though: bit.ly/jbga",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
why areof the small people identical copies?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"also this is... really fucking ugly. the most important thing should be musk's face, but it's not very saturated - the most saturated thing is doge, with eye-burning yellow (terrible color choice). pink, yellow and blue are an awful color scheme. musk has no neck.

learn to draw.",3.0,0.0,6.0,1.0,2.0,5.0,0.0,0.0,2.0,3.0
"""elon’s facial expression takes the cake.""

what emotion is it supposed to be conveying?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"in addition, the dog looks dead-eyed, there is no shine in his iris. and musk... doesn't actually look like musk. if you didn't add the caption i wouldn't know this was him.

why is all crypto art so fucking ugly? don't y'all want to turn this into a genuine art market?",4.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0
"i know why it's so oversaturated

this motherfucker added *bloom* over the final pic. who actually uses bloom as polish? rgb noise and chromatic aberration, sure. but bloom over a digital painting? that will just screw up your values and saturation!",4.0,3.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0
"wow, a real twitter art critic? crazy. shut the fuck up.",2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
"i love that it's not that you can't handle criticism, you can't handle criticism *directed at someone else*. how much of a snowflake can one person even be lol",1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
block,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"we will build the biggest pump ever!
estimated profit of -%! 

join channel :t.me/whaleglobal

$btc $eth #nft $perl $enj $flow $ctsi #bsc $reef $aergo $sand $axs $tvk $alice $chz $stx $rose $troy $blz $bzrx $iris $tools $ada $dia $xrp $doge $atom $luna $zcx $bnb",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
i bet he can't,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dude you're fucking selling this shit for money and can't handle some critique? ,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
"sick!!!! check out the

#nft #nftart",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
shibs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i'll trade you afor this,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
this looks rushed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hodl ᕦ(ò_óˇ)ᕤ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretty much sums up everything,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ctrl+c & ctrl+v = art,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
because it’s not art?,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
he could put some clothes on.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you are a legend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the perfect complement to a rare elon opensea.io/collection/elon-m…,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
fastest gun in the west ,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
which?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non fungibeeples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so you bought the nft with dogecoin only to make another nft of dogecoin that elon will buy using dogecoin. #dogecointothemoon ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drip!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"and there is happy elon 

foundation.app/erdem/doge-to…",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
butt nakey with no neck,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"yeah, that’s great, i guess. but where ar ether cat-girls?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
priceless,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"christopher, you sir, made my day",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"opensea.io/assets/xf…

it's even better lol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rarible.com/token/xf…?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pls send to me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"$,, min ask",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"$erowan is coming , dex with margin trading ,limit order integration ofblockchain .trading at $ now .soon to $ .powered by $thorchain yes $ save my message .dyor",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ser! plz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one of the most pathetic things i’ve even seen,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i like how elon is surrounded by gold coins. like the shiba was a dragon hoarding the #dogecoin and elon tamed it.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"“imitation is the sincerest form of flattery that mediocrity can pay to greatness.”- oscar wilde
#dogearmy 
#beeple",2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
bad art,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
$doge to $ million trillion ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elon is about to retweet this or put it as his profile??  man i hope lol,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
wow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xdedbfddaffcababd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba$ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nft'd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"man i dont even know what a nft is really....i was born inthis all weird and new to me, but im with it ",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
future quadrillionaires!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glorious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haha awesome! to da moon and mars!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how much? lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awful,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
i must have this,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nfe #nfeartist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$ open edition,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this may sell for more than $m. facts.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
can we please call it a non-fungelon?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i approve!glad to have some major backers that aren’t institutionally jaded ,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
yooooo i'm judt saying you might keep messing around and elon buys it for a billion dollars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is this like... art?,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
no it's missing an f... more like fart,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"hey beeple, can you bully bolsonaro?",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"awesome work b! ps if u make pictures into aframe gif, twitter wont crop the shit outta them!",0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
good fucking lord. this shit is bleak,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0
looks shit,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
elon musk does not look like this naked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
...nfw!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfe'ssss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asking the right questions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elon is non-fungible. these peasants are very fungible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
