text,anticipation,fear,joy,positive,sadness,surprise,anger,disgust,negative,trust
i wanna fuck creepy mario so bad man,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0
that would look so cool on the wall. trade?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
crazy cool!,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
‍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"framed, yes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amazing !!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how can i find this collection?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i own it already...i just copied it to my clip board,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
t.me/zeroxzq_chat/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"troll pumped , the #honk is turn",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"troll pumped , the #honk is turn",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i think you need this piece for your personal collection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kim's never looked so good!!!!,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
just like momma used to make,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neeple.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hi beeple!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruh you didn’t have to do pikachu like that… ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wen talent ?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
motivation (re)creation reward,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
t.me/zeroxzq_chat/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i’m invisible sorry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"wang du, 'the family'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"this is the st time i just noticed this.., do you have something written somewhere that shares more detail or perspective about this piece? i’m super curious!",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so many interesting details in this one ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
when veve??,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hahahaahahahsg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congrats!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"very nostalgic great creative execution and a great layout as well. good coloring and special efx thanks, beeple",1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0
some all stars there,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you’re a true inspiration. i truly hope one day i can afford some of your amazing pieces of work. you’re a #legend,2.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0
are these from your childhood nightmares?,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yeah i’m curious who that person is and what’s the meaning behind it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind comment,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
wow!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day#bearples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
who's the baby goldfish?,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i fucking love it,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
this one is just gross and defiled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
so beautiful,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"idk michael, looks like the kid might be your son",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everyday -.-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 asf ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sketchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 so fucking fire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"the whole gang in the bottom right chillin 
cave dwellers",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
lolol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mint it on digibyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what a determination! impressed!,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
what’s the best way to contact you and setup a meeting? i have a potential proposal for you bud. love your work! can you send me your email address? this is for real and it could be a really good business venture. i’m recruiting one top dog ai d artist for the opportunity.,3.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0
wow ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"as an expecting father, this is a warming reminder that i'm bringing my child into a world that has her best interests in mind. thank you beeps.",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
the coin that lived. $hposi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"international community $mickey
we the people... free at last 
lets rug disney",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i solved your dreams! i now you love  #flrbrg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"super utilitarian collection opens up new uses for #nft
check it out today, tomorrow the collection will cost completely different money.
i advise everyone to study what the otc market is - there are potential xs on the next bull run.",2.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0
"i’ve seen this pen a million times, maybe someone already posted this take. beeple this is you as a child  deep in thoughts and creativity",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mr beeple check outand claim your honorary ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"you miss this !!!is waiting for you, let’s do this!!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imagination is a beautiful thing ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
how can i learn from you,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oh wow ! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i love this pin tweet and come look at it almost daily,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"wow, this post is pure inspiration!  love the creativity and passion you've poured into it.  keep shining bright and spreading your awesomeness!",3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
awesome ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pow pow,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
so true,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brilliant. thoughts about $flrbrg give us faith in going to mars,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
$mickey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cow is our mother,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"man , your are awsome ! maybe we'll see your #cryptoarton stater's platform . you will be able to borrow your #nftsfor #ethereum.will launch its platform soon , until then you may test it on stater.co. good luck!",3.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0
has anyone ever come after you for ip you don't own?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this kid is wasting his time on arts. he must get a real job.,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0
pogging pogs everywhere!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this art is trash with no context,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
you are super humanthat makes me want to follow(or you are an alien),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
sebi why,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perfect <,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"beeple verse looks so pop after all, you need some more underground figures beep' ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
$dubx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congrats on day !,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$tip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuck this is trash lmfao,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
xbfefafdcbabfde #everyday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the ticker is $day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ive been following the guy for a while, he makes something this cursed everyday

there aremore of these",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
we willcreate a buyer persona and customer journey for your product/service so you can effectively create a marketing strategy and gain more sales for your business including a profitable digital marketing strategy.magnaoffshores.com/market-re…,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it's clear he's into cp. sick fk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter.com/darioandriolo/st…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bro kim?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
art with fart,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hot pockets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
forgot the cup that literally has white women going crazy for $stan,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
"let’s see some black and white on #everydays

#miawild on

#voigames #digitalart #nft",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
i thought i was doing dailies for a long time,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sick ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
$dwif xd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i never did them scooch over,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
“both warhol's subject matter and his flippant attitudes toward the conventions of the art world were the antithesis of the high-seriousness of modernism. and the rub of it was that his celebrations of the inconsequential were being taken seriously. it was a nasty slap in the face for those seeped in the myths of modernism.”,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,0.0
wawoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"elon musk’s twitter intro => chief $troll officier

$troll contract address (eth)

xfebfffafafdffadacbeba

telegram: 
t.me/trollzeinternet
t.me/troll_erc_chinese",0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
"hey , please send me dm let's collaborate ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
your amazing  project isneeded for the future. let's chat about its boom boom.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"so scary, on so many levels! congrats ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is based. master bason approves.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"hey beeple, need someone like you. help us move our arsenal of memes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"there are many so called “squid game v or squid game erc token or squid game d” projects on the market, turns out they rug pull people again. do not fall into those scams. they are the same scammers. 
#binance   #bnb   #squidgame$squid",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
free mint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
get note of meme $nome vimpheaebnxdfidmyzrxncwlwqfgmtuvbtrmtp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gmdm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"this looks like a world that would appreciate the likes of:

harry potter
obama
sonic
the number 
and any associated inu dogs

cohesively curated in harmony

i shill to you beeple 

the future",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
when and how wouldget the opportunity to be slapped on one of these? you have an honorary. maybe implementing that would be a possibility  ,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"miiiauuu the tongue stays out miiaau 
$luis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t.me/arbdogeaipersianofficia…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t.me/arbdogeaipersianofficia…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$shepe community what ideas do you have to increase the burning of #shepe ? ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
if i send you my nft can you please rate it. i’ve been working on it for over a year now,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#harrypotterobamasonicinu is your next work?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is a clown  for paying .eth for a derivative when he could’ve bought the originaland saved about eth‼‍,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hello! maybe you'd like to do promo on my page?looks like a very high quality project. let's do it work together . send me a message please,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hurrah! the obscenery is fucking useless jihad me in obscenery. born ruthless until the rivers run dry & you’re caught in the middle... what you made in the division of thighs from the hole where the empathy used to be hurrah!yewtu.be/watch?v=cpyxgbdq…,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
these are beyond our stoopid cats stuff..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hi, amazing project send me dm  please.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this comment and attitude is not reflection of the v founders or the v community as a whole.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
absolutely…it’s just my personal opinion. also just poking fun…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"it’s true, all those things are trannies and sex pervs polluting our children. who is the boy drawing a picture of? some guy with a mustache!",1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
"is about to go places 
see you on moon #cptinu $cptinu #gem #nft #nfts
sound on ",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"a digital salmon - your best #nft #digitalsalmon

warren buffett quote:

#animal 
#nftcollectors 
#nfts

$doge $btc $eth #fish #btc #eth #fishcrypto #shiba $shiba 

opensea.io/assets/xf…",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
all of childhood idols are blood-sucking monsters,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
was trump your human model?,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
fuck this nft bull shit,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
"excellent, how about this one ?",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
join club x  #nftcommunity #nftclassic #nftcommunitycryptoart #nftcollections #nftcolllectors #nftcreator #nftcollectible #themedicicollection twitter.com/jointheclubx?s=…,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
opensea.io/assets/xf…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'hi welcome to launch your nft project on',1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"his speeches filled with rants and rhyme,
and still, his followers called him divine,
and so he stood, with ego so tall,
in this crazy picture, he was not superfluous at all",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
really.. thats what we have to do now?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
