text,positive,trust,anger,disgust,fear,negative,sadness,anticipation,surprise,joy
combo),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i think everyone has seen this already, i just want to know when the k nft collection is coming out",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
i really don’t understand what i’m seeing …my brain is not that powerful …,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
this is fucking disturbing..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"crikey, my eyes!!!!!!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 muting that!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u have feelings now?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruh fuck who can i unsee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legit just scrolling through my feed and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my eyes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beeple giving monday blues to everyone ,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"dios mío, mang. haven’t you noticed all my stuff is safe for the kids. this is def not safe for anyone’s eyes. dios mío ",3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"i didn't even have to click a link but here i am, gouging my eyes out 

at least it's almost halloween",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"art is supposed to make you feel something, so maybe it’s his most effective piece yet? ",2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hahahah idk man. i rather swan dive off a rooftop than to ever see this picture again ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
he's better off!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
" (follow) $egt available on uniswap, monument  will be delivered toin austin texas on november th ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can’t stop laughing ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lmaooooo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hahahahaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmaoo!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well— i guess that’s enough twitter for tonight. thanks mike ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"dude, you’ve given me nightmares for a month",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
farewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"holy f. 
im never ever gonna fall asleep properly",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
this thing is going to haunt me in my sleep.,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
well maintained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretty tough to unsee!,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
damn i shouldn’t have looked ,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"beeple can post nudity, now that elon owns twitter. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i am legit scarred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 terrible!…,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
what are we looking at ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
same question,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorry man ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can relate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
:),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pass it around:
teddit.net/r/eyebleach/",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haha ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literally this,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poor football head,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
lmao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
who has un-see that tech?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yoplease dm me brother ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
only the neuralizer will help us in this case ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
i can tell you it is not better if it is first thing in the morning you see ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
:(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"how can we un-see this, bloody hell. quentin tarantino couldn't even think of this.",0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
stop him now send him to mars idfc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotional damage,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
‍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a big big dickbutt nightmare,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
sail on mate,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discord notifications  someone has way too many servers ,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
you wont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"wait but, how did you post this? ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
it was good having you man! but i respect your decision.,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
so long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
omg that’s disgusting,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
beat me to it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real lifeor in-gameversion of cryptodickbutt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it’s magical,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
"fuck, gm i guess ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
if this doesn’t go to a museum then the art world is rigged,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"bullish. 
prob greatest creation of any living artist",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
been saving this for elon’s takeover to go through? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
why does this dang thing keep popping up on my feed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"another team of data engineers just left twitter, this time voluntarily",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
oido something about this shit lmao this is the mf worst,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
nice size looking thick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stunning and brave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terrifying and arousing ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
" (follow) $egt available on uniswap, monument  will be delivered toin austin texas on november th ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it will still live in your head rent free though.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lol loop know i know why you posted about beeple.... woah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmaoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tough guy ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"any room where this is on display -- even just visible on someone's phone -- is, technically, automatically a fine art museum",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"when you waste your last wish on a big hog, but the genie got a sense of humor.",1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
wtf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh god is that what the rest of greg looks like,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
your bit corn hasn't helped greg.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lol you win. i quit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
omg how do you poop greg ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
where are you?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i found the ""crypto""!",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"bro, what the hell is this? disgusting! you can do better!",0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
hey- could u somehow bitboy-ify this with ai? lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my unearthly uniboob is better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoughts on this? lmao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elon tweeted one of these today so he made a human version,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ffs i could have done without this. here, i'm a homie teddit.net/r/eyebleach/",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot twist:irl cryptdickbutt is the data engineer.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
if you comment it recycles it around ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the algo knows what you like greg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ugh that was unexpected,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
at his best!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pooping up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
because your acc is not banned anymore greg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keep dangling*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it’s art,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
you never scrolled away.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"smh antifreespeech gainzy 
first they came for the digitally rendered human dickbutts, and i said nothing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks for putting this on my timeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
who the fuck paid this man the most ever for a piece of art? true fucking regard,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
bring back censorship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i’d pay $ a month to unsee this,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
quickest block i’ve ever done,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i can’t unsee this.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my body wasn’t ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
what a great way to start halloween!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cl…. cle……… cleaaaaaa…… clean?,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
when the genie gets the wish wrong.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what the fuck did i just saw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is allsaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you have one,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh fuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  nailed it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypto dick butt irl,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nice tit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
possibly lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i feel exactly the same,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
did you really have to...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lolllll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i can't breathe ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl…. clee….. cletus!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"disgusting, disturbing and completely unnecessary",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
wtf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh fuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atrocious.,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"bro, wtf",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thought you'd like it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
your type??? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
— help,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bro! ‍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
why.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you’re an absolute coward for not making it a gassy,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
is that cramer?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beeple is the modern day michelangelo and this confirms it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorry i had to make everyone else feel the pain andhelp,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
jams is liv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brother sometimes art should not be shared,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
oh lord have mercy god rest on my soul for i will never unsee it,4.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
scary scene for jim cramer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sending you a venmo request for $k for what you just made me look at.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my timeline just got fooked. i can't unsee this ever in my life.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my eyes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y is he mutilated tho,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
i sure miss my lifeminutes ago when i didn’t know this picture existed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ayooo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr pelosi? is it you?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wow  so biiiig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"this, this is what i want to do. when i saw this 
good shit beeple",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
banger,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
art.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
or mr. pelosi.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmao same. as soon as i woke up ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its your comment that baited me in! curiosity killed the cat ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
everyday this shit just gets funnier ,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
lel. skemmed by dickbutt photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fck ....me tooo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
too good,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
guy kinda looks like tony soprano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start a class action for ct ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
*saved image*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoughts & prayers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
help us all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr fr.where was my nudity grey screen filter…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 this was my reaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh my lord jesus,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
beeple to us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"omg, girl. help ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
he just did his taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y isn't smolting?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huh??,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bro wtf ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dayyummm. you just doxxed ! $luna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brought me here,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mf why am i waking up to this,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"*opens twitter*
*sees this*
*closes twitter*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i am my cryptodickbutt and my cryptodickbutt is me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unafraid of censorship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looks like tony soprano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grail ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the laugh out loud ratio on this must be damn near %,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
jfc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ick.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaaaaaaahhhhhhhh!!!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this goes hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
same and i can’t i see it ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucky you,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
thanksfor bringing me here… i will never be able to unsee this.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"you tweeting this bumped it to my feed. i am not clicking ""view"".",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airport why am i here wtf have you done ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hahahaha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"lol, that is very intense.",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""opens twitter again""
""retweets""
""closes twitter""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wtf did my eyes just witness,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my wife is mad at me for showing her this.,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
same here ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dammit beeple ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bruh no nut november is about to start and you incept my brain with this wtf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
looks rare!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legit look behind you to make sure no one watching even if you live alone and have no windows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"not gonna lie, i wasn’t expecting this on the tl",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
ummm ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my eyes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
